Cedula;Nombre;Sexo;eCivil;Nacido;Salario;Provincia;Politico
204540140;Acevedo Esquivel, Nestor;M;C;26/12/1967;665000;Guanacaste;Liberación Nacional
102970379;Sáenz Sanchez, Ulises;M;D;29/11/1999;2850000;Alajuela;Liberación Nacional
202300461;Zamora Lagos, Zulema;M;U;23/12/1963;0;Limón;Acción Ciudadana
504470743;Jácamo Hurtado, Raúl;F;D;06/11/1970;665000;Limón;Renovación Costarricense
207840411;Vega Labrador, Francisco;F;U;25/10/1980;3230000;Guanacaste;Acción Ciudadana
506110720;Urbina Ramírez, Fabiola;F;V;02/11/1965;665000;Cartago;Acción Ciudadana
309350391;Talavera Mendez, Nidia;F;V;14/09/1965;760000;Guanacaste;Renovación Costarricense
706340178;Nicolas Escalante, Sandra;F;V;22/10/1972;3230000;Cartago;Movimiento Libertario
705460717;Campos Ibanez, Ever;F;C;25/01/1999;1900000;Puntarenas;Acción Ciudadana
401090295;Jerez Ramírez, Victor;F;C;16/08/1980;2850000;Puntarenas;Acción Ciudadana
602750957;Salas Cubero, Valeria;M;U;25/06/1968;855000;Alajuela;Renovación Costarricense
704610674;Noguera González, Alfonso;M;C;12/08/1979;2850000;Cartago;Movimiento Libertario
101550906;Ibarra Pacheco, Wenceslao;M;S;13/08/1994;1710000;Limón;Renovación Costarricense
706670068;Quiroga Rivera, Hector;F;V;26/08/1974;1805000;Heredia;Republicano Social Cristiano
205750617;Herrera Valencia, Mercedes;F;V;26/02/1961;95000;San José;Republicano Social Cristiano
207930341;Lamas Quintana, Ingrid;F;S;27/11/1982;2565000;Puntarenas;Partido Integración Nacional
305980390;Lagos Gamboa, Ignacio;F;U;30/07/1961;2090000;Limón;Republicano Social Cristiano
206990631;Duarte Echandi, Bianka;M;S;21/02/1991;190000;Guanacaste;Renovación Costarricense
702360611;Esquivel Ocampo, Nuria;M;C;28/03/1960;3135000;Puntarenas;Republicano Social Cristiano
509420205;Zamora Ochoa, Adriana;F;D;01/11/1967;1140000;Cartago;Republicano Social Cristiano
404970349;Quirós Ruiz, Gerardo;M;V;01/07/1977;855000;Cartago;Partido Integración Nacional
200050678;Acevedo Lagos, German;F;S;06/08/1963;570000;Limón;Republicano Social Cristiano
207310683;López Angulo, Melania;F;U;02/12/1960;665000;Alajuela;Republicano Social Cristiano
504760804;Palma Zamora, Sabrina;F;D;24/07/1975;1710000;Cartago;Republicano Social Cristiano
303360789;Fonseca Rivera, Patricia;M;S;03/10/1964;1710000;Cartago;Accesibilidad sin Exclusión
602040298;Palma Abarca, Teodóro;F;U;08/11/1976;2660000;Alajuela;Partido Integración Nacional
101240489;Ugalde López, Yvone;M;C;14/03/1967;1235000;Guanacaste;Acción Ciudadana
703960109;Díaz Ordoñez, Osvaldo;F;U;06/08/1980;570000;Puntarenas;Republicano Social Cristiano
107670543;Ureña Huertas, Victor;M;U;01/05/1988;1140000;Heredia;Republicano Social Cristiano
603570634;Varela Fournier, Diego;M;D;15/06/1975;2945000;Cartago;Movimiento Libertario
205370942;Ballesteros Zamora, Sonia;F;V;22/11/1986;1045000;Cartago;Movimiento Libertario
403790946;Jerez Fournier, Cindy;M;S;23/01/1996;760000;Cartago;Liberación Nacional
205460264;Ordoñez Williams, Ignacio;F;U;27/12/1967;665000;Guanacaste;Acción Ciudadana
401950338;Ugalde Ugarte, Lady;F;C;26/02/1998;1710000;Puntarenas;Frente Amplio
201500368;Jaén Ugarte, Fernando;M;D;16/12/1997;1425000;Alajuela;Movimiento Libertario
609170814;Hernández Cespedes, Hector;M;U;07/06/1975;1140000;San José;Accesibilidad sin Exclusión
207820655;Palacios Zamora, Xavier;F;C;21/11/1998;2660000;Alajuela;Liberación Nacional
606040283;Barboza Jácamo, Karla;M;S;13/08/1974;2090000;Puntarenas;Accesibilidad sin Exclusión
402490318;Nicolas Galan, Carmen;F;V;16/10/1989;0;Heredia;Accesibilidad sin Exclusión
609780493;Lara Nicolas, Bruno;F;U;14/10/1984;2280000;Guanacaste;Renovación Costarricense
404200589;Ibanez Hidalgo, Carlos;M;U;29/01/1966;3230000;Limón;Acción Ciudadana
603840026;Flores Gaitan, Victor;M;C;27/02/1978;1330000;San José;Liberación Nacional
601240525;Barboza Talavera, Marianela;M;C;01/12/1981;380000;Cartago;Unidad Social Cristiana
706710329;Palma Jiménez, Cindy;F;V;12/10/1996;855000;Guanacaste;Partido Integración Nacional
701010885;Iglesias Madrigal, Orlando;M;U;13/10/1985;1425000;Alajuela;Renovación Costarricense
205930554;Almengor Elizondo, Carmen;F;C;23/02/1981;1235000;Cartago;Frente Amplio
600320101;Varela Elizondo, Laura;M;C;01/01/1988;1425000;Cartago;Unidad Social Cristiana
302030785;Galan Campos, Sonia;F;U;12/06/1966;1995000;Cartago;Frente Amplio
306730566;Gamboa Gaitan, Elsa;F;S;20/12/1975;1520000;San José;Partido Integración Nacional
705440627;Barahona González, Samuel;M;S;14/09/1966;950000;Heredia;Liberación Nacional
601660094;Ulloa Talavera, Laura;M;C;20/08/1971;1235000;Alajuela;Republicano Social Cristiano
200490529;Obregón Mendez, Yehudi;F;S;04/06/1996;2850000;Guanacaste;Frente Amplio
205920073;Quirós Jácamo, Joyce;M;S;27/12/1988;380000;Heredia;Liberación Nacional
108980604;Mendez Abarca, Gabriela;F;V;23/07/1974;2470000;Alajuela;Frente Amplio
207770126;Roldan De la O, Diego;F;U;08/02/1977;570000;Limón;Movimiento Libertario
701700118;Ocampo Iglesias, Melania;F;D;09/10/1975;1045000;Heredia;Accesibilidad sin Exclusión
506100481;Caballero Hidalgo, Pablo;F;D;12/05/1965;2470000;Alajuela;Accesibilidad sin Exclusión
502470222;Ugalde Molina, Wenceslao;F;V;28/05/1999;1900000;Cartago;Accesibilidad sin Exclusión
205840088;Esquivel Quintana, Tania;F;S;03/09/1960;2185000;Limón;Accesibilidad sin Exclusión
602640639;Ugarte Redondo, Odir;F;C;02/11/1990;1520000;Guanacaste;Republicano Social Cristiano
509420360;Bolaños Redondo, Bruno;F;U;06/01/1961;2280000;Limón;Unidad Social Cristiana
401670833;Pacheco Sancho, Bruno;M;C;30/09/1987;1235000;Puntarenas;Renovación Costarricense
407240808;Gamboa Tenorio, Irma;M;C;20/04/1970;0;Cartago;Acción Ciudadana
403500711;Alvarado Naranjo, Fabiola;M;D;08/06/1989;1995000;San José;Unidad Social Cristiana
708730026;Ibarra Vallejo, Cindy;F;S;20/07/1999;2470000;San José;Republicano Social Cristiano
404260905;Ordoñez Galan, Ximena;M;D;22/05/1976;1425000;San José;Unidad Social Cristiana
204050518;Caballero Izaguirre, Orlando;M;V;19/04/1960;285000;Puntarenas;Liberación Nacional
406140107;Angulo Saborío, Katia;M;C;05/05/1971;475000;Guanacaste;Movimiento Libertario
207320735;Rivera Domingues, Carmen;M;U;23/03/1975;950000;Limón;Liberación Nacional
206620453;Ibanez Saborío, Carolina;M;C;06/04/1983;2470000;Heredia;Partido Integración Nacional
602400022;Durán Madrigal, Gabriela;M;V;01/06/1978;665000;Cartago;Accesibilidad sin Exclusión
702180594;Ordoñez Hernández, Ana;M;D;11/05/1984;665000;Puntarenas;Acción Ciudadana
402420228;Jiménez Barahona, Sergio;F;C;28/07/1989;1995000;Cartago;Accesibilidad sin Exclusión
702700456;Trujillo Pacheco, Ignacio;F;C;25/12/1963;190000;Heredia;Frente Amplio
308600255;Almengor Almengor, Ofelia;M;C;18/09/1979;2660000;Guanacaste;Renovación Costarricense
109360429;Vega Saborío, Félix;F;U;27/01/1998;855000;Puntarenas;Unidad Social Cristiana
603420626;Bolaños Campos, Lady;F;C;11/03/1970;3135000;Puntarenas;Republicano Social Cristiano
301510196;Palma Quintero, Rocío;F;S;08/03/1970;285000;Alajuela;Movimiento Libertario
504880681;Espinoza Ocampo, Rebeca;M;U;11/11/1993;2850000;Puntarenas;Partido Integración Nacional
507860521;Bolaños Redondo, Indira;F;V;04/08/1989;3135000;Alajuela;Liberación Nacional
607750044;Ojeda Quintana, Olga;M;D;04/08/1965;1900000;Puntarenas;Republicano Social Cristiano
408180425;Cubero Pacheco, Jorge;M;D;14/03/1993;1520000;Cartago;Accesibilidad sin Exclusión
305070436;Campos Fonseca, Giovanna;M;S;05/02/1989;2850000;Limón;Unidad Social Cristiana
601890499;Campos Wright, Arturo;F;C;25/10/1964;0;Alajuela;Acción Ciudadana
600000322;Ureña Gaitan, Arturo;M;V;12/03/1981;190000;Limón;Frente Amplio
508000330;Paniagua Ulloa, Carolina;M;D;01/07/1991;285000;Limón;Accesibilidad sin Exclusión
302440892;Palacios Tijerino, Valeria;F;D;22/09/1968;1805000;Heredia;Accesibilidad sin Exclusión
601690893;Obregón Almengor, Cesar;F;U;14/07/1998;1710000;San José;Accesibilidad sin Exclusión
506320985;Acevedo Lagos, Dunia;M;U;04/03/1988;2660000;Guanacaste;Partido Integración Nacional
307700386;Ochoa Paniagua, René;F;V;05/04/1965;1995000;Heredia;Frente Amplio
100610167;Ramírez Cespedes, Dunia;M;S;09/06/1995;95000;Guanacaste;Republicano Social Cristiano
604080260;Izaguirre Jácamo, Walter;F;U;12/04/1962;1425000;Puntarenas;Movimiento Libertario
104700296;Acevedo Jaén, David;M;U;28/09/1971;1045000;Cartago;Acción Ciudadana
200070852;Huertas Naranjo, Pedro;F;U;20/10/1995;2375000;San José;Republicano Social Cristiano
109380585;Tijerino García, Pedro;M;D;02/02/1993;855000;Cartago;Movimiento Libertario
102160814;Barahona Blanco, Karen;F;V;11/03/1985;2850000;San José;Liberación Nacional
300760464;Fajardo López, Kenneth;M;S;29/05/1976;475000;Puntarenas;Partido Integración Nacional
409030892;Jiménez Jiménez, Jorge;M;D;28/11/1964;95000;Cartago;Republicano Social Cristiano
203530975;Trujillo López, René;M;S;10/09/1971;190000;Guanacaste;Accesibilidad sin Exclusión
107440953;Quiroga Almengor, Úrsula;F;D;08/09/1982;950000;San José;Renovación Costarricense
201110096;Duarte Escalante, Tatiana;M;U;14/07/1977;2280000;Alajuela;Liberación Nacional
506640013;Esquivel Sanchez, Bruno;F;S;18/04/1972;3040000;Guanacaste;Republicano Social Cristiano
200560806;Jerez Jerez, Pablo;M;S;26/02/1988;2945000;Alajuela;Unidad Social Cristiana
608340312;Cubero Lara, Roberto;F;D;22/03/1988;3135000;Alajuela;Republicano Social Cristiano
206590132;Gamboa Palma, Sonia;F;U;21/03/1980;0;Alajuela;Liberación Nacional
202780294;Campos Angulo, Mercedes;F;U;06/11/1986;1140000;Guanacaste;Frente Amplio
704550575;Madrigal Juárez, Melania;M;V;28/03/1961;0;Puntarenas;Liberación Nacional
503370914;Barahona Torres, Wendy;F;U;24/01/1977;1995000;Guanacaste;Unidad Social Cristiana
605110169;Esquivel Abarca, Ingrid;M;V;01/03/1995;2945000;Limón;Unidad Social Cristiana
105020200;Jaén Ochoa, Yvone;M;D;14/11/1970;1900000;Heredia;Unidad Social Cristiana
201400163;De la O Infante, Carolina;M;U;05/12/1978;1995000;San José;Accesibilidad sin Exclusión
502730341;Noguera Naranjo, Sergio;M;D;17/10/1986;2185000;San José;Acción Ciudadana
103320784;Ulloa Noguera, Joyce;M;S;09/10/1977;1330000;Limón;Movimiento Libertario
209500483;Redondo Quintanilla, Carmen;F;C;08/06/1989;190000;San José;Accesibilidad sin Exclusión
102550787;Alvarado Labrador, Hellen;M;D;13/09/1978;0;Heredia;Liberación Nacional
305650589;López Ureña, Dunia;F;V;25/02/1995;2660000;Heredia;Renovación Costarricense
505040868;Tenorio Vallejo, Orlando;M;U;10/08/1998;2470000;Cartago;Acción Ciudadana
309990632;Trujillo Quiroga, Kevin;F;S;16/08/1983;760000;Puntarenas;Renovación Costarricense
601490404;Tenorio Ugarte, Valeria;M;S;05/08/1964;1995000;Limón;Renovación Costarricense
402670826;Barahona Ibanez, Wenceslao;F;V;29/02/1996;2470000;Puntarenas;Republicano Social Cristiano
100310646;Cubero Blanco, Hector;M;D;13/08/1971;760000;San José;Unidad Social Cristiana
708500062;Tijerino Sanchez, Karla;M;V;17/09/1998;1235000;Cartago;Republicano Social Cristiano
307160516;Galan Gaitan, Yirlania;F;V;18/04/1985;1330000;San José;Movimiento Libertario
408580869;Tenorio Acevedo, Ulises;M;S;27/02/1991;855000;Cartago;Liberación Nacional
204240283;Fajardo Infante, Tania;F;C;08/08/1962;1520000;Cartago;Renovación Costarricense
701690644;Ruiz Ugarte, Fabiola;F;C;05/03/1980;1330000;Limón;Liberación Nacional
505480895;Tijerino Acevedo, Indira;M;U;07/01/1996;475000;Heredia;Movimiento Libertario
300470056;Barahona Manzanares, Ulises;F;V;22/04/1985;2470000;Limón;Accesibilidad sin Exclusión
705900456;Cespedes Valencia, Ximena;F;U;06/03/1969;855000;San José;Movimiento Libertario
303940640;Jerez Galan, Tatiana;F;C;08/10/1982;760000;Cartago;Frente Amplio
603070512;Zarate Durán, Pedro;F;D;15/08/1962;1805000;Cartago;Unidad Social Cristiana
601360882;Ibarra Palma, Deisi;F;U;03/08/1984;285000;Guanacaste;Liberación Nacional
503930945;Torres Almengor, Priscila;M;V;30/09/1992;950000;San José;Movimiento Libertario
503680948;Obregón Talavera, Zaida;F;C;10/06/1980;285000;Cartago;Partido Integración Nacional
402910861;Nicolas Palma, Yehudi;F;S;24/02/1985;1900000;Cartago;Accesibilidad sin Exclusión
603470486;Infante Chavarría, Bruno;M;C;18/06/1961;2660000;Cartago;Accesibilidad sin Exclusión
504900995;Quiroga Herrera, Luis;M;D;09/11/1978;2090000;Limón;Unidad Social Cristiana
309060994;Redondo Ocampo, Sabrina;F;D;06/04/1962;380000;Limón;Liberación Nacional
404210488;Barahona Infante, Ernesto;F;S;12/03/1978;1710000;Heredia;Liberación Nacional
100360712;Vargas Herrera, Lady;M;S;17/07/1982;2660000;Guanacaste;Renovación Costarricense
407570929;Williams Salas, Walter;F;C;15/01/1970;1520000;Puntarenas;Frente Amplio
206000189;Quirós Sanchez, Yirlania;M;V;30/05/1971;285000;Heredia;Accesibilidad sin Exclusión
504130840;Tijerino Tenorio, Hector;F;C;12/10/1995;760000;Cartago;Frente Amplio
208550837;Palacios Angulo, Victor;M;V;13/06/1972;95000;San José;Accesibilidad sin Exclusión
706730170;Almengor Herrera, David;M;V;06/11/1977;1140000;Guanacaste;Acción Ciudadana
706520037;García Naranjo, Bruno;F;D;24/07/1971;760000;Heredia;Liberación Nacional
103910243;Quirós Fonseca, Diana;M;D;10/05/1967;2850000;Guanacaste;Liberación Nacional
701160240;Herrera Ruiz, Sabrina;F;S;24/02/1992;3135000;Heredia;Partido Integración Nacional
408250590;Sáenz Tenorio, David;F;C;04/04/1970;3230000;Alajuela;Liberación Nacional
604300295;Mendez Angulo, Julia;M;V;01/10/1973;2470000;Puntarenas;Accesibilidad sin Exclusión
307410501;Juárez Ugalde, Carolina;F;S;16/07/1964;190000;Alajuela;Acción Ciudadana
105180183;Vargas Acevedo, Katia;M;D;04/11/1980;1045000;Limón;Frente Amplio
309780973;Cespedes Esquivel, Yehudi;F;S;20/08/1983;1710000;Limón;Movimiento Libertario
608530049;Monestel Gamboa, Kevin;M;S;10/10/1970;1045000;Cartago;Movimiento Libertario
507460072;González Williams, Karla;M;C;11/09/1979;380000;Heredia;Frente Amplio
105460595;Campos Ocampo, Adriana;F;V;28/08/1981;190000;Guanacaste;Frente Amplio
208930564;Quiroga Noguera, José;M;V;28/08/1968;855000;Limón;Renovación Costarricense
508830423;Navas Blanco, Karla;M;V;24/10/1989;2850000;Heredia;Partido Integración Nacional
705360284;Díaz Escalante, Ximena;M;S;21/07/1966;475000;Limón;Movimiento Libertario
104600665;Abarca Caballero, Diana;F;U;05/08/1996;1805000;Puntarenas;Acción Ciudadana
707740228;Noguera Ocampo, Patricia;F;V;07/01/1974;1140000;Guanacaste;Acción Ciudadana
107470190;Talavera Talavera, Carlos;F;V;21/07/1988;2850000;Limón;Liberación Nacional
109750288;Almengor Redondo, Huberth;F;U;10/05/1997;380000;Puntarenas;Movimiento Libertario
506870571;Roldan Labrador, René;F;U;24/04/1977;1045000;San José;Acción Ciudadana
307340079;Galan Nicolas, Alvaro;M;U;24/03/1972;1425000;San José;Partido Integración Nacional
300680243;García Quirós, Giovanna;F;S;25/12/1993;95000;Alajuela;Partido Integración Nacional
704760990;Herrera Domingues, Patricia;F;V;26/05/1979;3135000;Heredia;Accesibilidad sin Exclusión
206850566;Izaguirre Almengor, Zoe;M;C;28/09/1966;1425000;Guanacaste;Acción Ciudadana
408990588;Quintero Naranjo, Bruno;M;S;12/11/1993;380000;San José;Republicano Social Cristiano
709420965;Valencia Jaén, Laura;M;U;01/07/1970;1520000;Alajuela;Partido Integración Nacional
204330142;Ballesteros Wright, Yonan;M;C;19/12/1961;1330000;Heredia;Partido Integración Nacional
704590656;Jaén Mendez, Cindy;M;C;07/09/1999;0;Puntarenas;Renovación Costarricense
509440838;Alvarado Zamora, Uriel;M;V;27/03/1974;2850000;Guanacaste;Partido Integración Nacional
609440143;Wright Cubero, Odir;M;U;01/04/1975;665000;Limón;Acción Ciudadana
702150596;Hernández Galan, Ernesto;F;V;22/05/1987;1520000;Heredia;Frente Amplio
209100854;Williams Galan, Nuria;M;D;24/11/1987;95000;Limón;Unidad Social Cristiana
605280725;García Quintana, Alvaro;M;D;07/06/1991;95000;San José;Movimiento Libertario
603620270;Flores Ugalde, Francini;M;S;11/09/1978;1615000;Guanacaste;Movimiento Libertario
402580074;Almengor Williams, René;M;C;03/08/1961;285000;Alajuela;Acción Ciudadana
600580154;Roldan Ugalde, Ulises;M;D;14/10/1982;3230000;Puntarenas;Liberación Nacional
409300855;Torres Ugarte, Pablo;M;C;13/02/1969;1425000;Alajuela;Accesibilidad sin Exclusión
709940511;Wright Valencia, Francini;F;U;09/10/1979;2280000;Alajuela;Renovación Costarricense
209500017;Noguera Varela, Sergio;F;D;08/10/1966;1520000;San José;Movimiento Libertario
204210487;Blanco Palacios, Sandra;F;D;22/05/1978;3230000;San José;Frente Amplio
607850189;Caballero Ugarte, Zacarías;F;U;17/03/1984;1615000;Cartago;Acción Ciudadana
701000237;Blanco Madrigal, Indira;F;S;15/03/1985;570000;Puntarenas;Accesibilidad sin Exclusión
502440426;Hernández Quintanilla, Wenceslao;F;S;03/03/1983;3040000;Guanacaste;Liberación Nacional
403080349;Vega Williams, Humberto;M;U;01/01/1970;2945000;Guanacaste;Unidad Social Cristiana
207730880;Alvarado Almengor, Fernando;F;C;31/03/1988;1710000;Alajuela;Republicano Social Cristiano
502380177;González Fonseca, Sonia;M;C;06/12/1964;1900000;Heredia;Renovación Costarricense
205540144;Labrador Galan, Arturo;F;C;15/11/1979;1900000;Alajuela;Frente Amplio
305700942;Ochoa Talavera, Patricia;F;D;28/03/1978;3040000;Heredia;Unidad Social Cristiana
508520116;Ramírez Campos, Nuria;M;S;18/03/1993;0;Heredia;Accesibilidad sin Exclusión
508120167;Monestel Monestel, Xiomara;M;C;27/02/1998;3135000;Guanacaste;Movimiento Libertario
505770605;Lara Ruiz, Elsa;F;V;05/07/1965;1425000;San José;Acción Ciudadana
203350990;Williams Nicolas, Elena;M;V;24/03/1972;380000;Guanacaste;Frente Amplio
700120221;Jiménez Fournier, Félix;F;U;01/03/1988;95000;Alajuela;Frente Amplio
300210363;Blanco De la O, Yolanda;M;V;14/03/1997;2375000;Heredia;Renovación Costarricense
508150055;Torres Salas, Mercedes;M;C;01/07/1973;285000;Limón;Republicano Social Cristiano
101200857;Acevedo Elizondo, Yolanda;F;V;22/11/1988;0;Cartago;Partido Integración Nacional
107410085;Ojeda Hidalgo, German;M;U;08/03/1964;855000;Alajuela;Renovación Costarricense
104540502;Quirós Cespedes, Deisi;F;V;26/04/1997;2945000;Heredia;Accesibilidad sin Exclusión
408240482;Navas Navas, José;F;U;19/05/1984;2090000;Cartago;Liberación Nacional
500210583;Nuñez Labrador, Karla;M;U;05/02/1960;0;Alajuela;Liberación Nacional
305630550;Urbina Fernández, Rebeca;F;C;04/04/1998;0;Cartago;Frente Amplio
202670631;Padilla Quintero, René;M;C;11/09/1985;1710000;Heredia;Unidad Social Cristiana
302400867;Torres Trujillo, Ximena;M;V;21/09/1976;2470000;Limón;Frente Amplio
206600671;Fonseca Cespedes, Sonia;F;U;23/12/1970;1615000;Heredia;Republicano Social Cristiano
305970234;Ballesteros Tijerino, Giovanna;F;V;13/02/1961;190000;Guanacaste;Acción Ciudadana
102340646;Huertas Esquivel, Alfonso;F;C;19/12/1991;760000;Puntarenas;Republicano Social Cristiano
409780458;Esquivel Monestel, Nestor;M;V;14/03/1990;760000;Alajuela;Liberación Nacional
402550636;Navas Galan, Paula;F;C;16/09/1961;95000;Limón;Renovación Costarricense
602470282;Cubero Gamboa, Cesar;M;C;02/07/1977;1995000;San José;Unidad Social Cristiana
609910363;Nicolas Cubero, Mario;F;U;17/12/1968;1615000;Heredia;Liberación Nacional
709120902;Quirós Izaguirre, Braulio;F;D;12/06/1989;2755000;Alajuela;Movimiento Libertario
504690301;Ibanez Labrador, Lorenzo;M;S;06/05/1973;285000;Alajuela;Republicano Social Cristiano
603910687;Hidalgo Lagos, Wilfrido;F;S;27/08/1960;475000;San José;Republicano Social Cristiano
603010289;Infante Espinoza, Hilda;M;U;23/06/1985;1900000;San José;Frente Amplio
402200365;Palma Tijerino, Grisel;M;C;28/06/1987;1235000;San José;Accesibilidad sin Exclusión
407690254;Nicolas Vallejo, German;F;V;15/01/1993;760000;Limón;Frente Amplio
304760621;Sáenz Galan, Vilma;M;D;11/02/1972;1805000;San José;Republicano Social Cristiano
703520372;Ulloa Trujillo, Lorena;F;U;04/08/1982;1520000;Alajuela;Renovación Costarricense
506250909;Talavera Infante, Verónica;M;C;15/03/1965;1425000;San José;Unidad Social Cristiana
208370834;Quirós Cubero, Hilda;M;S;14/09/1973;1805000;Limón;Movimiento Libertario
402950544;Galan Vallejo, Yonan;M;V;21/07/1980;1520000;Guanacaste;Republicano Social Cristiano
203430435;Ruiz Cubero, Ernesto;F;V;15/02/1994;0;Limón;Acción Ciudadana
408960575;Sancho Hernández, Alvaro;M;U;27/10/1978;2755000;Guanacaste;Republicano Social Cristiano
406630582;Fernández Madrigal, Carolina;F;C;08/12/1991;3040000;Puntarenas;Unidad Social Cristiana
702300173;Hidalgo Molina, Xiomara;F;U;13/06/1976;1995000;Limón;Frente Amplio
604820270;Nuñez García, Indira;M;U;09/03/1979;2945000;Guanacaste;Movimiento Libertario
700660758;Saborío Noguera, Norman;F;U;02/12/1977;2090000;Limón;Liberación Nacional
507230346;Ballesteros Espinoza, Sergio;F;S;05/10/1999;3040000;Heredia;Unidad Social Cristiana
200330862;Ochoa Durán, Norman;F;C;25/08/1972;1900000;Heredia;Partido Integración Nacional
700010495;Durán Labrador, Teresa;M;U;07/09/1985;1995000;Alajuela;Acción Ciudadana
709920137;Ojeda Caballero, Irma;F;U;21/11/1984;3040000;Limón;Frente Amplio
502560597;Iglesias Izaguirre, Priscila;F;D;13/04/1978;3230000;San José;Partido Integración Nacional
702630186;Saborío Obregón, Irma;M;D;16/05/1966;950000;Puntarenas;Renovación Costarricense
702110705;García Barboza, Yvone;M;U;07/03/1999;1805000;Puntarenas;Renovación Costarricense
202170874;López Palacios, Ever;M;C;31/10/1962;475000;San José;Frente Amplio
600870015;Escalante Valencia, Olga;M;C;10/03/1983;1425000;Heredia;Renovación Costarricense
207280680;Palma Quintanilla, Zacarías;M;V;31/03/1963;1330000;San José;Renovación Costarricense
509410106;Ballesteros Fournier, Tatiana;M;S;06/05/1993;1710000;Puntarenas;Republicano Social Cristiano
608360175;Jiménez Campos, Grisel;F;V;20/08/1973;1900000;Alajuela;Renovación Costarricense
401730674;Ibarra Espinoza, Ximena;M;S;03/01/1973;1900000;Guanacaste;Movimiento Libertario
707010977;Ureña López, Yolanda;F;S;15/07/1979;1330000;San José;Frente Amplio
507210802;Vargas Mendez, Nestor;F;U;25/06/1976;950000;Puntarenas;Republicano Social Cristiano
707400709;Bolaños De la O, Uriel;F;U;27/12/1989;2945000;San José;Frente Amplio
704380072;Urbina Paniagua, Osvaldo;F;U;06/04/1981;285000;Puntarenas;Movimiento Libertario
400740930;Escalante De la O, Indira;M;S;08/12/1982;1140000;San José;Movimiento Libertario
305270170;Acevedo Ugarte, Sonia;M;S;01/09/1971;2375000;Cartago;Renovación Costarricense
607840969;Quiroga Chavarría, Kevin;M;V;11/01/1976;1900000;Heredia;Unidad Social Cristiana
100440118;Iglesias Espinoza, Lorena;M;S;07/05/1973;3040000;Limón;Accesibilidad sin Exclusión
100810103;Fajardo Labrador, Raúl;F;D;15/09/1997;760000;Heredia;Frente Amplio
506470365;Barboza Barahona, Teodóro;F;U;02/07/1962;380000;Limón;Republicano Social Cristiano
308480545;Palma Ibanez, Elena;F;S;01/10/1987;3135000;Cartago;Renovación Costarricense
